NAME ,NAME (S),DISCLAIMER ,DATA SOURCE/S ,DATA SOURCE/S URL ,COORDINATES - LAT / X,COORDINATES - LONG/ Y,STREET ADDRESS ,CITY (COLONIAL) - EXCLUDE FROM MAP ,PROVINCE/ TERRITORY  (COLONIAL)  - EXCLUDE FROM MAP,ON THE TRADITIONAL LANDS OF (DATA FROM NATIVE-LAND.CA - CONTACT LOCAL NATIONS TO VERIFY) ,IMAGE 1- MAIN ,IMAGE 2 - SECONDARY,DESCRIPTION (LONG) ,PLAQUE/ MARKER TEXT / INSCRIPTION ,ARTIST/ CREATOR,AGENCIES SPONSORING/ MANAGING THE SITE,YEAR DEDICATED ,YEAR CONSTRUCTED ,OBJECT TYPE ,USE TYPES ,USE TYPES 2,SUBJECTS ,SUBJECTS 2,SUBJECTS 3,SUBJECTS 4,HONOREES ,HONOREES 2,HONOREES 3,HONOREES 4,HONOREES 5,HONOREES 6,HONOREES 7,HONOREES 8,HONOREES 9,HONOREES 10,HONOREES 11,HONOREES 12,HONOREES 13,HONOREES 14,HONOREES 15,HONOREES 16,HONOREES 17,HONOREES 18,HONOREES 19,HONOREES 20,HONOREES 21,HONOREES 22,HONOREES 23,HONOREES 24,HONOREES 25,HONOREES 26,HONOREES 27,HONOREES 28,HONOREES 29,HONOREES 30,HONOREES 31,HONOREES 32,HONOREES 33,TAGS,TAGS 2,COMMUNITIES IMPACTED (CROWD-SOURCED),ISSUES REPRESENTED (CROWD-SOURCED),MATERIAL 1,MATERIAL 2,MATERIAL 3,AREA (SQ.KM),HEIGHT (M),WIDTH (M),DEPTH (M),STAGING 1,STAGING 2,STAGING 3,STAGING COMMENTS,GESTURE 1,GESTURE 2,INCLUDES REPLICA? ,YEAR REMOVED (IF APPLICABLE),ADDITIONAL INFORMATION ,
Millenium Park,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,43.26076,-81.1432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,43.25979,-81.1403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,43.46708,-81.1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totem Pole,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,43.1248,-80.7411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joseph Brant Memorial,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,43.14083,-80.2632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Founding of Brantford,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,43.14141,-80.2623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,43.46898,-80.5454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drumbo Dan's Grave?,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,43.26347,-80.4938,,,,,,,,Drumbo Dan 1887-?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preston War Memorial,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,43.3966,-80.3593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,43.35898,-80.3183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,43.41733,-80.3302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clock Tower,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,43.44851,-80.4939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shelmerdine Grave,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,43.43601,-80.4406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,43.50372,-80.434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Portico,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,43.5328,-80.2298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bell Display,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,42.96644,-79.9526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bell Display,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,42.95057,-79.8583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,42.99264,-79.8661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,43.02396,-79.8908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anchor,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,43.02438,-79.8906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,42.90908,-79.637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,42.90937,-79.6368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,42.90224,-79.6223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,42.90403,-79.6194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Battlefield Monument,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,43.21667,-79.7665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
War of 1812 - Battle of Stoney Creek,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,43.21669,-79.7664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The United Empire Loyalists,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,43.25457,-79.8679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sir John A. MacDonald,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,43.25581,-79.8668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Queen Victoria,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,43.25643,-79.8689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,43.26524,-79.8651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,43.26529,-79.8651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Courage, Hope and Dreams",,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,43.26536,-79.8651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,43.26542,-79.8651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,43.27319,-79.862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Clair Heritage Conservation District,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,43.24595,-79.842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First Blaze on the Bruce Trail,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,43.50873,-79.9575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Great War Memorial,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,43.32607,-79.799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,43.32667,-79.7946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,43.44003,-79.6674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheridan Cairn,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,43.50782,-79.6623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,43.58833,-79.6484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Welland-Crowland War Memorial,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,42.99585,-79.259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Battle of Chippawa,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,43.05213,-79.0247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,43.16228,-79.0545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niagara Township War Memorial,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,43.17015,-79.0575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brockâ€™s Bastion,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,43.25203,-79.0617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polish World War I Military Cemetery,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,43.2547,-79.0679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tank,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,44.15281,-81.0296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cannon,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,43.97772,-80.7293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Old Windmill,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,43.95069,-80.279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metal,,,,,,,,,,,,,,,,
Cenotaph,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,44.4584,-80.8999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Statue Of Mother Mary,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,43.61275,-79.6535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Etobicoke Creek Flood Control Monument,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,43.69129,-79.759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QEW Monument,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,43.63317,-79.4704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pioneer Cemetery of Old St. Stephan's Church,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,43.81923,-79.4996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reupard's Settlement Pioneer Burying Ground,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,43.83882,-79.5031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,43.84732,-79.4923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MacMillan Nature Preserve,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,43.85032,-79.4838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,44.28497,-79.8911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rebellion of 1837 Monument,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,43.99003,-79.6955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nokiidaa Trail monument,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,44.07994,-79.4545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,granite,,,,,,,,,,,,,,,,
Freedom for Hungary - Freedom For All,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,43.63667,-79.4489,,,,,,,,,Victor Tolgyesi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metal,,,,,,,,,,,,,,,,
Fort RouillÃ© Monument,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,43.63066,-79.4235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ned Hanlan Statue,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,43.62765,-79.3895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland Park,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,43.6347,-79.3958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.irelandparkfoundation.com/
Honour Roll of the Fallen in World War II,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,43.66094,-79.4139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kensington Market Community Marker,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,43.65438,-79.3989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kensington Market Community Marker,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,43.655,-79.399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chinatown Community Marker,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,43.65244,-79.3979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,43.65461,-79.3882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,43.65958,-79.3904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sir Adam Beck,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,43.65046,-79.3864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,43.65489,-79.3776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank of Upper Canada Building National Historic Site of Canada,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,43.65186,-79.3709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Unknown Student,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,43.66703,-79.4012,,,,,,,,,Derek Heinzerling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metal,,,,,,,,,,,,,,,,
,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,43.66584,-79.3913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,43.66928,-79.2978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,43.70225,-79.421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,43.70458,-79.4222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,43.69073,-79.3832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,43.69067,-79.3832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Veteran's Cenotaph,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,43.72203,-79.3785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glendon Old Gate,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,43.72584,-79.3801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tabor Hill Monument,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,43.75983,-79.2345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Firefighters Memorial sculpture,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,43.8738,-79.2587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thistle Ha' Farm,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,43.93968,-79.1092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whitby Cenotaph,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,43.87989,-78.9412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,43.99454,-79.4521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
